Episode: 161 | Reward: -8.54 | Epsilon: 0.9839 | Reason: collision
Episode: 162 | Reward: -10.12 | Epsilon: 0.9838 | Reason: collision
Episode: 163 | Reward: -10.89 | Epsilon: 0.9837 | Reason: collision
Episode: 164 | Reward: -11.53 | Epsilon: 0.9836 | Reason: collision
Episode: 165 | Reward: -14.96 | Epsilon: 0.9835 | Reason: collision
Episode: 166 | Reward: -10.39 | Epsilon: 0.9834 | Reason: collision
Episode: 167 | Reward: -10.23 | Epsilon: 0.9833 | Reason: collision
Episode: 168 | Reward: -16.66 | Epsilon: 0.9832 | Reason: collision
Episode: 169 | Reward: -11.20 | Epsilon: 0.9831 | Reason: collision
Episode: 170 | Reward: -10.15 | Epsilon: 0.9830 | Reason: collision
Episode: 171 | Reward: -11.39 | Epsilon: 0.9829 | Reason: collision
Episode: 172 | Reward: 31.18 | Epsilon: 0.9828 | Reason: goal
Episode: 173 | Reward: -13.07 | Epsilon: 0.9827 | Reason: collision
Episode: 174 | Reward: -8.92 | Epsilon: 0.9827 | Reason: collision
Episode: 175 | Reward: -8.82 | Epsilon: 0.9826 | Reason: collision
Episode: 176 | Reward: -14.44 | Epsilon: 0.9825 | Reason: collision
Episode: 177 | Reward: -11.48 | Epsilon: 0.9824 | Reason: collision
Episode: 178 | Reward: -9.82 | Epsilon: 0.9823 | Reason: collision
Episode: 179 | Reward: -10.19 | Epsilon: 0.9822 | Reason: collision
Episode: 180 | Reward: -10.21 | Epsilon: 0.9821 | Reason: collision
Episode: 181 | Reward: -11.85 | Epsilon: 0.9820 | Reason: collision
Episode: 182 | Reward: -10.16 | Epsilon: 0.9819 | Reason: collision
Episode: 183 | Reward: -10.62 | Epsilon: 0.9818 | Reason: collision
Episode: 184 | Reward: -9.51 | Epsilon: 0.9817 | Reason: collision
Episode: 185 | Reward: -12.61 | Epsilon: 0.9816 | Reason: collision
Episode: 186 | Reward: -10.19 | Epsilon: 0.9815 | Reason: collision
Episode: 187 | Reward: -10.62 | Epsilon: 0.9814 | Reason: collision
Episode: 188 | Reward: -8.69 | Epsilon: 0.9813 | Reason: collision
Episode: 189 | Reward: -15.93 | Epsilon: 0.9812 | Reason: collision
Episode: 190 | Reward: -11.46 | Epsilon: 0.9811 | Reason: collision
Episode: 191 | Reward: -8.92 | Epsilon: 0.9810 | Reason: collision
Episode: 192 | Reward: -13.64 | Epsilon: 0.9809 | Reason: collision
Episode: 193 | Reward: -9.75 | Epsilon: 0.9808 | Reason: collision
Episode: 194 | Reward: -9.63 | Epsilon: 0.9807 | Reason: collision
Episode: 195 | Reward: -14.27 | Epsilon: 0.9806 | Reason: collision
Episode: 196 | Reward: -10.51 | Epsilon: 0.9805 | Reason: collision
Episode: 197 | Reward: -11.20 | Epsilon: 0.9804 | Reason: collision
Episode: 198 | Reward: -10.01 | Epsilon: 0.9803 | Reason: collision
Episode: 199 | Reward: -13.52 | Epsilon: 0.9802 | Reason: collision
Episode: 200 | Reward: -10.24 | Epsilon: 0.9801 | Reason: collision
Episode: 201 | Reward: -11.82 | Epsilon: 0.9800 | Reason: collision
Episode: 202 | Reward: -12.10 | Epsilon: 0.9799 | Reason: collision
Episode: 203 | Reward: -11.29 | Epsilon: 0.9798 | Reason: collision
Episode: 204 | Reward: -10.41 | Epsilon: 0.9797 | Reason: collision
Episode: 205 | Reward: -12.25 | Epsilon: 0.9796 | Reason: collision
Episode: 206 | Reward: -11.71 | Epsilon: 0.9795 | Reason: collision
Episode: 207 | Reward: -8.67 | Epsilon: 0.9794 | Reason: collision
Episode: 208 | Reward: -14.01 | Epsilon: 0.9793 | Reason: collision
Episode: 209 | Reward: -11.31 | Epsilon: 0.9792 | Reason: collision
Episode: 210 | Reward: -15.12 | Epsilon: 0.9791 | Reason: collision
Episode: 211 | Reward: -8.76 | Epsilon: 0.9790 | Reason: collision
Episode: 212 | Reward: -12.54 | Epsilon: 0.9789 | Reason: collision
Episode: 213 | Reward: -10.64 | Epsilon: 0.9788 | Reason: collision
Episode: 214 | Reward: -11.10 | Epsilon: 0.9787 | Reason: collision
Episode: 215 | Reward: -14.52 | Epsilon: 0.9786 | Reason: collision
Episode: 216 | Reward: -12.27 | Epsilon: 0.9785 | Reason: collision
Episode: 217 | Reward: -10.14 | Epsilon: 0.9784 | Reason: collision
Episode: 218 | Reward: -10.55 | Epsilon: 0.9783 | Reason: collision
Episode: 219 | Reward: -8.34 | Epsilon: 0.9782 | Reason: collision
Episode: 220 | Reward: -14.07 | Epsilon: 0.9781 | Reason: collision
Episode: 221 | Reward: -9.94 | Epsilon: 0.9780 | Reason: collision
Episode: 222 | Reward: -9.77 | Epsilon: 0.9779 | Reason: collision
Episode: 223 | Reward: -13.95 | Epsilon: 0.9778 | Reason: collision
Episode: 224 | Reward: -10.43 | Epsilon: 0.9778 | Reason: collision
Episode: 225 | Reward: -10.21 | Epsilon: 0.9777 | Reason: collision
Episode: 226 | Reward: -14.28 | Epsilon: 0.9776 | Reason: collision
Episode: 227 | Reward: -13.35 | Epsilon: 0.9775 | Reason: collision
Episode: 228 | Reward: -14.84 | Epsilon: 0.9774 | Reason: collision
Episode: 229 | Reward: -10.50 | Epsilon: 0.9773 | Reason: collision
Episode: 230 | Reward: -12.28 | Epsilon: 0.9772 | Reason: collision
Episode: 231 | Reward: -12.32 | Epsilon: 0.9771 | Reason: collision
Episode: 232 | Reward: -13.42 | Epsilon: 0.9770 | Reason: collision
Episode: 233 | Reward: -11.15 | Epsilon: 0.9769 | Reason: collision
Episode: 234 | Reward: -13.86 | Epsilon: 0.9768 | Reason: collision
Episode: 235 | Reward: 31.44 | Epsilon: 0.9767 | Reason: goal
Episode: 236 | Reward: -10.32 | Epsilon: 0.9766 | Reason: collision
Episode: 237 | Reward: -17.01 | Epsilon: 0.9765 | Reason: collision
Episode: 238 | Reward: -12.39 | Epsilon: 0.9764 | Reason: collision
Episode: 239 | Reward: -16.21 | Epsilon: 0.9763 | Reason: collision
Episode: 240 | Reward: -14.69 | Epsilon: 0.9762 | Reason: collision
Episode: 241 | Reward: -11.07 | Epsilon: 0.9761 | Reason: collision
